country,year,gdp,lexp,health,growth,food,Region,pop
Dominican Republic,2005,8780,73.5,9.16,1.47,2330,South/Latin America,9240000
Dominican Republic,2006,9580,73.6,10.4,1.44,2370,South/Latin America,9370000
Dominican Republic,2007,10300,73.9,9.64,1.41,2400,South/Latin America,9500000
Dominican Republic,2008,10400,74.2,9.42,1.38,2350,South/Latin America,9640000
Dominican Republic,2009,10400,74.4,12.4,1.35,2390,South/Latin America,9770000
Dominican Republic,2010,11100,74.6,14,1.32,2530,South/Latin America,9900000
East Timor,1995,1560,60.9,10.8,1.71,2030,Asia & Pacific,871000
East Timor,1996,1740,62.5,6.98,0.512,1890,Asia & Pacific,876000
East Timor,1997,1840,61.5,10.8,-0.449,1920,Asia & Pacific,872000
East Timor,1998,1830,61.8,6.71,-0.783,1800,Asia & Pacific,865000
East Timor,1999,1200,55.7,8.66,-0.223,1830,Asia & Pacific,863000
East Timor,2000,1390,63.7,12.7,0.961,1870,Asia & Pacific,872000
East Timor,2001,1580,64.3,42.4,2.37,1940,Asia & Pacific,893000
East Timor,2002,1430,64.8,41.2,3.45,2060,Asia & Pacific,924000
East Timor,2003,1340,65.2,35.5,3.93,2060,Asia & Pacific,961000
East Timor,2004,1300,66.2,35.5,3.66,2040,Asia & Pacific,997000
East Timor,2005,1340,67.2,38.3,2.94,2030,Asia & Pacific,1030000
East Timor,2006,1240,68.3,23.5,2.13,2040,Asia & Pacific,1050000
East Timor,2007,1360,69.2,19.3,1.55,2050,Asia & Pacific,1060000
East Timor,2008,1530,70,9.9,1.23,2060,Asia & Pacific,1080000
East Timor,2009,1710,70.6,7.76,1.28,2040,Asia & Pacific,1090000
East Timor,2010,1850,71.1,4.71,1.6,2080,Asia & Pacific,1110000
Ecuador,1995,7730,72.8,9.62,2.16,2310,South/Latin America,11400000
Ecuador,1996,7700,73.1,11.1,2.1,2300,South/Latin America,11700000
Ecuador,1997,7870,73.5,10.4,2.05,2330,South/Latin America,11900000
Ecuador,1998,7960,73.7,9.29,1.98,2250,South/Latin America,12200000
Ecuador,1999,7440,74,9.82,1.91,2330,South/Latin America,12400000
Ecuador,2000,7390,74.3,6.4,1.84,2290,South/Latin America,12600000
Ecuador,2001,7550,74.6,8.48,1.76,2220,South/Latin America,12900000
Ecuador,2002,7730,74.8,9.73,1.69,2240,South/Latin America,13100000
Ecuador,2003,7810,75.1,6.74,1.65,2200,South/Latin America,13300000
Ecuador,2004,8310,75.3,5.58,1.64,2230,South/Latin America,13500000
Ecuador,2005,8610,75.6,5.63,1.66,2250,South/Latin America,13700000
Ecuador,2006,8840,75.8,5.07,1.68,2230,South/Latin America,14000000
Ecuador,2007,8880,76,5.45,1.69,2210,South/Latin America,14200000
Ecuador,2008,9290,76.3,4.63,1.69,2300,South/Latin America,14400000
Ecuador,2009,9180,76.5,7.75,1.67,2290,South/Latin America,14700000
Ecuador,2010,9350,76.7,7.32,1.64,2350,South/Latin America,14900000
Egypt,1995,6290,67.7,5.34,1.93,3320,Arab States,63700000
Egypt,1996,6480,68.1,5.46,1.9,3330,Arab States,64900000
Egypt,1997,6710,68.4,6.28,1.86,3360,Arab States,66200000
Egypt,1998,6860,69,8.07,1.84,3340,Arab States,67400000
Egypt,1999,7140,69.4,7.2,1.84,3360,Arab States,68600000
Egypt,2000,7390,69.9,7.34,1.85,3370,Arab States,69900000
Egypt,2001,7510,69.7,7.7,1.87,3410,Arab States,71200000
Egypt,2002,7540,69.8,7.61,1.9,3430,Arab States,72600000
Egypt,2003,7640,69.9,7.3,1.9,3380,Arab States,74000000
Egypt,2004,7800,70.1,7.01,1.87,3310,Arab States,75400000
Egypt,2005,8000,70.3,6.73,1.84,3370,Arab States,76800000
Egypt,2006,8400,70.3,6.44,1.78,3390,Arab States,78200000
Egypt,2007,8840,70.5,6.2,1.75,3450,Arab States,79500000
Egypt,2008,9310,70.5,5.94,1.77,3490,Arab States,81000000
Egypt,2009,9560,70.4,5.56,1.85,3440,Arab States,82500000
Egypt,2010,9860,70.5,5.74,1.97,3510,Arab States,84100000
El Salvador,1995,5730,70.3,13.5,1.19,2390,South/Latin America,5610000
El Salvador,1996,5760,70.6,13.9,1.08,2400,South/Latin America,5670000
El Salvador,1997,5950,71.1,13.9,0.98,2430,South/Latin America,5730000
El Salvador,1998,6120,71.3,14.1,0.886,2430,South/Latin America,5780000
El Salvador,1999,6280,71.9,13.7,0.801,2410,South/Latin America,5830000
El Salvador,2000,6360,72.2,14.3,0.726,2540,South/Latin America,5870000
El Salvador,2001,6430,71.9,13.4,0.651,2630,South/Latin America,5910000
El Salvador,2002,6540,72.7,11.2,0.58,2640,South/Latin America,5940000
El Salvador,2003,6660,72.8,14.6,0.524,2600,South/Latin America,5970000
El Salvador,2004,6750,72.9,14.8,0.488,2570,South/Latin America,6000000
El Salvador,2005,6960,73.1,15.3,0.469,2570,South/Latin America,6030000
El Salvador,2006,7200,73.3,15.8,0.455,2580,South/Latin America,6060000
El Salvador,2007,7440,73.5,15.5,0.445,2570,South/Latin America,6080000
El Salvador,2008,7500,73.8,11.8,0.44,2570,South/Latin America,6110000
El Salvador,2009,7230,73.8,12.3,0.441,2570,South/Latin America,6140000
El Salvador,2010,7300,74.1,13.3,0.445,2520,South/Latin America,6160000
Equatorial Guinea,1995,1720,47.9,13.7,3.58,NA,Africa,505000
Equatorial Guinea,1996,2750,48.5,9.91,3.72,NA,Africa,524000
Equatorial Guinea,1997,6620,50.7,10.4,3.86,NA,Africa,545000
Equatorial Guinea,1998,7880,52,8.28,3.97,NA,Africa,567000
Equatorial Guinea,1999,9510,53.1,7.39,4.02,NA,Africa,590000
Equatorial Guinea,2000,10800,54.4,7.83,4.05,NA,Africa,614000
Equatorial Guinea,2001,16900,55.8,9.75,4.06,NA,Africa,640000
Equatorial Guinea,2002,19400,57,26.9,4.08,NA,Africa,666000
Equatorial Guinea,2003,21200,57.5,7.47,4.15,NA,Africa,695000
Equatorial Guinea,2004,28100,58,6.96,4.26,NA,Africa,725000
Equatorial Guinea,2005,31400,58.1,6.96,4.39,NA,Africa,757000
Equatorial Guinea,2006,32300,59,6.96,4.51,NA,Africa,792000
Equatorial Guinea,2007,35600,59.4,6.96,4.58,NA,Africa,829000
Equatorial Guinea,2008,40000,59.8,6.96,4.61,NA,Africa,868000
Equatorial Guinea,2009,38700,60.3,6.96,4.58,NA,Africa,909000
Equatorial Guinea,2010,33700,60.9,6.96,4.52,NA,Africa,951000
Eritrea,1995,1590,56.6,2.98,0.153,NA,Africa,3090000
Eritrea,1996,1720,57.2,2.2,0.845,NA,Africa,3120000
Eritrea,1997,1830,57.8,3.42,1.43,NA,Africa,3160000
Eritrea,1998,1820,58.4,2.41,1.97,NA,Africa,3220000
Eritrea,1999,1780,49.6,2.05,2.39,NA,Africa,3300000
Eritrea,2000,1680,58.1,3.69,2.7,NA,Africa,3390000
Eritrea,2001,1770,59.5,4.58,3.03,NA,Africa,3500000
Eritrea,2002,1770,59.8,3.94,3.31,NA,Africa,3610000
Eritrea,2003,1660,60,3.98,3.36,NA,Africa,3740000
Eritrea,2004,1630,60.3,4.25,3.17,NA,Africa,3860000
Eritrea,2005,1630,60.5,2.46,2.82,NA,Africa,3970000
Eritrea,2006,1570,60.8,3.56,2.43,NA,Africa,4070000
Eritrea,2007,1560,61,3.59,2.11,NA,Africa,4150000
Eritrea,2008,1380,61.2,3.59,1.89,NA,Africa,4230000
Eritrea,2009,1410,61.5,3.59,1.82,NA,Africa,4310000
Eritrea,2010,1420,61.7,3.59,1.85,NA,Africa,4390000
Estonia,1995,11400,67.9,13.7,-1.79,2920,Europe,1430000
Estonia,1996,12100,69.9,14.7,-1.48,3060,Europe,1420000
Estonia,1997,13700,70.1,14.8,-1.14,3010,Europe,1410000
Estonia,1998,14400,69.8,12.2,-0.961,2960,Europe,1410000
Estonia,1999,14300,70.5,11.8,0.294,3110,Europe,1400000
Estonia,2000,15700,70.8,11.3,0.484,3050,Europe,1400000
Estonia,2001,16800,70.6,11,-0.637,3050,Europe,1390000
Estonia,2002,17900,71.4,10.4,-0.633,3040,Europe,1380000
Estonia,2003,19400,71.9,11,-0.628,3070,Europe,1370000
Estonia,2004,20700,72.4,11.4,-0.598,3080,Europe,1360000
Estonia,2005,22800,72.8,11.5,-0.572,3170,Europe,1360000
Estonia,2006,25300,73.1,10.9,-0.59,3200,Europe,1350000
Estonia,2007,27400,73.2,11.5,-0.456,3220,Europe,1340000
Estonia,2008,26000,74.2,11.9,-0.268,3310,Europe,1340000
Estonia,2009,22200,75,11.7,-0.193,3350,Europe,1340000
Estonia,2010,22700,76,11.7,-0.228,3310,Europe,1330000
Ethiopia,1995,575,49.9,6.33,3.33,1570,Africa,57300000
Ethiopia,1996,626,50.5,6.36,3.17,1660,Africa,59200000
Ethiopia,1997,626,51,7.2,3.03,1680,Africa,61000000
Ethiopia,1998,587,51.5,7.83,2.94,1680,Africa,62800000
Ethiopia,1999,600,51.1,6.99,2.9,1730,Africa,64600000
Ethiopia,2000,618,51.1,8.51,2.89,1790,Africa,66500000
Ethiopia,2001,650,53.1,9.78,2.9,1830,Africa,68500000
Ethiopia,2002,642,53.9,10.2,2.89,1840,Africa,70500000
Ethiopia,2003,610,54.5,10.5,2.86,1880,Africa,72500000
Ethiopia,2004,673,55.3,9.95,2.83,1880,Africa,74600000
Ethiopia,2005,732,56.1,10.3,2.78,1980,Africa,76700000
Ethiopia,2006,790,57.1,9.97,2.73,1970,Africa,78900000
Ethiopia,2007,857,58.2,12.7,2.69,1960,Africa,81000000
Ethiopia,2008,925,59.4,11.5,2.66,2020,Africa,83200000
Ethiopia,2009,980,60.4,13.3,2.65,2050,Africa,85400000
Ethiopia,2010,1070,61.3,13.5,2.64,2080,Africa,87700000
Fiji,1995,6290,64.6,9.48,1.28,2740,Asia & Pacific,775000
Fiji,1996,6510,64.5,9,1.15,2820,Asia & Pacific,784000
Fiji,1997,6300,64.2,8.7,1.06,2850,Asia & Pacific,793000
Fiji,1998,6330,64.2,7.32,0.936,2830,Asia & Pacific,800000
Fiji,1999,6830,64.1,8.39,0.769,2840,Asia & Pacific,806000
Fiji,2000,6670,64.3,11.3,0.585,2830,Asia & Pacific,811000
Fiji,2001,6780,64.5,8.35,0.369,2880,Asia & Pacific,814000
Fiji,2002,6990,64.7,9.12,0.181,2900,Asia & Pacific,816000
Fiji,2003,7050,64.7,8.97,0.115,2890,Asia & Pacific,817000
Fiji,2004,7410,64.8,10.3,0.211,2900,Asia & Pacific,818000
Fiji,2005,7430,64.9,10.7,0.422,2940,Asia & Pacific,822000
Fiji,2006,7510,64.9,10.2,0.678,2950,Asia & Pacific,827000
Fiji,2007,7380,64.9,10.1,0.89,2920,Asia & Pacific,835000
Fiji,2008,7380,64.9,10.9,1.02,2950,Asia & Pacific,843000
Fiji,2009,7210,65,10.3,1.02,2920,Asia & Pacific,852000
Fiji,2010,7350,65.3,9.4,0.933,2910,Asia & Pacific,860000
Finland,1995,27600,76.6,9.15,0.382,3030,Europe,5120000
Finland,1996,28500,76.8,9.56,0.328,3020,Europe,5140000
Finland,1997,30200,77,9.82,0.297,3150,Europe,5150000
Finland,1998,31800,77.2,10.1,0.265,3180,Europe,5160000
Finland,1999,33100,77.4,10.2,0.232,3170,Europe,5180000
Finland,2000,34900,77.7,10.6,0.208,3150,Europe,5190000
Finland,2001,35700,78.1,11.1,0.228,3170,Europe,5200000
Finland,2002,36200,78.3,11.5,0.242,3150,Europe,5210000
Finland,2003,36900,78.5,12.1,0.238,3150,Europe,5230000
Finland,2004,38200,78.7,12.3,0.29,3190,Europe,5240000
Finland,2005,39100,78.9,12.6,0.342,3200,Europe,5260000
Finland,2006,40500,79.1,12.7,0.384,3240,Europe,5280000
Finland,2007,42500,79.3,12.6,0.425,3280,Europe,5300000
Finland,2008,42600,79.6,12.5,0.466,3240,Europe,5320000
Finland,2009,38900,79.8,12.1,0.478,3230,Europe,5340000
Finland,2010,39800,80,12.2,0.457,3280,Europe,5370000
France,1995,30900,78.1,15.2,0.361,3530,Europe,58200000
France,1996,31300,78.3,15.2,0.354,3520,Europe,58500000
France,1997,31900,78.6,15.1,0.354,3550,Europe,58800000
France,1998,32900,78.7,15.3,0.369,3590,Europe,59000000
France,1999,33800,78.9,15.3,0.514,3600,Europe,59300000
France,2000,34900,79.1,15.5,0.685,3610,Europe,59600000
France,2001,35300,79.3,15.7,0.728,3640,Europe,59900000
France,2002,35500,79.5,15.9,0.727,3660,Europe,60200000
France,2003,35500,79.7,16.2,0.709,3590,Europe,60600000
France,2004,36200,80.1,16.3,0.736,3560,Europe,60900000
France,2005,36500,80.3,16.4,0.754,3540,Europe,61200000
France,2006,37100,80.6,16.5,0.697,3510,Europe,61600000
France,2007,37800,80.8,16.5,0.619,3470,Europe,62000000
France,2008,37600,81,16.3,0.559,3550,Europe,62300000
France,2009,36300,81.2,16.3,0.514,3530,Europe,62700000
France,2010,36900,81.4,16.3,0.494,3540,Europe,63000000
Gabon,1995,19900,59.7,4.69,2.56,2550,Africa,1090000
Gabon,1996,20100,59.3,5.77,2.53,2630,Africa,1110000
Gabon,1997,20700,59.7,3.2,2.51,2630,Africa,1140000
Gabon,1998,20900,59.6,2.93,2.5,2660,Africa,1170000
Gabon,1999,18600,59.4,3.92,2.49,2710,Africa,1200000
Gabon,2000,17800,59.1,4.81,2.5,2720,Africa,1230000
Gabon,2001,17700,58.9,4.05,2.5,2700,Africa,1260000
Gabon,2002,17200,59.2,4.52,2.52,2640,Africa,1290000
Gabon,2003,17200,59.3,6.53,2.57,2660,Africa,1330000
Gabon,2004,16800,59.3,6.6,2.68,2680,Africa,1360000
Gabon,2005,17000,60,4.73,2.81,2720,Africa,1400000
Gabon,2006,15900,60.5,5.05,2.93,2720,Africa,1440000
Gabon,2007,16300,61.2,5.61,3.02,2710,Africa,1490000
Gabon,2008,15300,61.5,5.13,3.12,2650,Africa,1540000
Gabon,2009,14800,62,6.63,3.22,2700,Africa,1590000
Gabon,2010,15400,62.9,6.63,3.31,2730,Africa,1640000
Gambia,1995,1450,62.7,5.86,2.8,2390,Africa,1070000
Gambia,1996,1440,62.9,5.14,2.82,2390,Africa,1100000
Gambia,1997,1470,62.8,5.72,2.83,2480,Africa,1130000
Gambia,1998,1480,63.2,8.85,2.86,2360,Africa,1160000
Gambia,1999,1520,63.2,8.85,2.93,2510,Africa,1200000
Gambia,2000,1560,63.3,8.83,3,2590,Africa,1230000
Gambia,2001,1600,63.6,7,3.09,2520,Africa,1270000
Gambia,2002,1500,63.5,8.66,3.16,2460,Africa,1310000
Gambia,2003,1550,64,12.9,3.22,2460,Africa,1350000
Gambia,2004,1610,64.3,11.7,3.22,2470,Africa,1400000
Gambia,2005,1540,64.3,11.3,3.21,2440,Africa,1440000
Gambia,2006,1510,64.5,11.3,3.19,2400,Africa,1490000
Gambia,2007,1520,64.5,11.3,3.17,2540,Africa,1540000
Gambia,2008,1560,64.9,11.3,3.16,2590,Africa,1590000
Gambia,2009,1600,65.1,11.3,3.16,2620,Africa,1640000
Gambia,2010,1660,65.5,11.3,3.16,2670,Africa,1690000
Georgia,1995,2300,70.4,2.48,-2.66,2390,Europe,5020000
Georgia,1996,2620,71.2,4.52,-2.52,2540,Europe,4950000
Georgia,1997,2950,71.3,6.52,-1.85,2650,Europe,4880000
Georgia,1998,3070,71.4,5.89,-0.982,2610,Europe,4830000
Georgia,1999,3180,71.5,5.48,-0.779,2610,Europe,4770000
Georgia,2000,3260,71.7,6.92,-0.771,2570,Europe,4720000
Georgia,2001,3450,72,7.78,-0.725,2640,Europe,4670000
Georgia,2002,3660,71.8,7.77,-0.673,2750,Europe,4620000
Georgia,2003,4120,71.7,7.06,-1.3,2860,Europe,4580000
Georgia,2004,4420,71.6,5.6,-1.3,2900,Europe,4530000
Georgia,2005,4900,72,6.15,-1.3,2980,Europe,4490000
Georgia,2006,5430,72.5,5.88,-1.3,2860,Europe,4440000
Georgia,2007,6180,72.7,4.26,-1.31,2900,Europe,4390000
Georgia,2008,6410,72.3,4.78,-1.28,2980,Europe,4340000
Georgia,2009,6260,72.7,6.07,-1.3,2950,Europe,4290000
Georgia,2010,6730,72.8,6.87,-1.32,2850,Europe,4230000
Germany,1995,33700,76.5,15,0.294,3250,Europe,81200000
Germany,1996,33800,76.7,17.4,0.289,3300,Europe,81400000
Germany,1997,34400,77,17.2,0.146,3180,Europe,81500000
Germany,1998,35100,77.3,17.1,0.0151,3290,Europe,81500000
Germany,1999,35800,77.6,17.1,0.0646,3280,Europe,81500000
Germany,2000,36800,77.9,18.3,0.135,3340,Europe,81500000
Germany,2001,37300,78.2,17.5,0.168,3360,Europe,81500000
Germany,2002,37300,78.4,17.7,0.168,3430,Europe,81600000
Germany,2003,37000,78.6,17.7,0.0554,3390,Europe,81700000
Germany,2004,37400,78.9,17.4,-0.0217,3410,Europe,81700000
Germany,2005,37700,79.2,17.7,-0.0568,3450,Europe,81700000
Germany,2006,39100,79.4,17.9,-0.113,3470,Europe,81500000
Germany,2007,40500,79.6,18.4,-0.134,3530,Europe,81300000
Germany,2008,41000,79.8,18.6,-0.19,3520,Europe,81100000
Germany,2009,38800,79.9,18.7,-0.253,3520,Europe,81000000
Germany,2010,40400,80.1,18.7,-0.153,3500,Europe,80900000
Ghana,1995,2070,59.5,9.91,2.6,2350,Africa,16800000
Ghana,1996,2110,59.5,9.91,2.5,2380,Africa,17200000
Ghana,1997,2140,59.1,10,2.43,2400,Africa,17600000
Ghana,1998,2190,59.4,10.1,2.4,2430,Africa,18000000
Ghana,1999,2230,59.3,10.1,2.42,2470,Africa,18500000
Ghana,2000,2260,59.3,8.33,2.47,2510,Africa,18900000
Ghana,2001,2290,59.2,9.76,2.52,2560,Africa,19400000
Ghana,2002,2330,59.3,9.04,2.56,2660,Africa,19900000
Ghana,2003,2390,59.5,8.67,2.59,2670,Africa,20400000
Ghana,2004,2460,59.9,11.6,2.61,2680,Africa,21000000
Ghana,2005,2540,60.1,15.3,2.61,2750,Africa,21500000
Ghana,2006,2630,60.5,14.9,2.62,2820,Africa,22100000
Ghana,2007,2680,60.8,15.4,2.62,2800,Africa,22700000
Ghana,2008,2850,61.3,12.2,2.6,2950,Africa,23300000
Ghana,2009,2910,61.7,12.4,2.56,3030,Africa,23900000
Ghana,2010,3060,62.2,12.1,2.51,3080,Africa,24500000
Greece,1995,21200,77.8,9.77,0.467,3520,Europe,10800000
Greece,1996,21800,78,10.3,0.441,3510,Europe,10900000
Greece,1997,22600,78.1,9.94,0.493,3520,Europe,11000000
Greece,1998,23400,78.3,9.83,0.554,3540,Europe,11000000
Greece,1999,24000,78.4,10.4,0.383,3630,Europe,11100000
Greece,2000,24800,78.6,10.1,0.409,3600,Europe,11100000
Greece,2001,25700,78.9,11.8,0.52,3610,Europe,11200000
Greece,2002,26600,79.1,11.7,0.367,3640,Europe,11200000
Greece,2003,28100,79.3,11.9,0.239,3650,Europe,11200000
Greece,2004,29500,79.5,11.3,0.247,3720,Europe,11300000
Greece,2005,29600,79.6,13,0.293,3590,Europe,11300000
Greece,2006,31100,79.9,13.4,0.3,3490,Europe,11300000
Greece,2007,32100,80,12.5,0.255,3510,Europe,11400000
Greece,2008,31900,80.2,12,0.265,3520,Europe,11400000
Greece,2009,30400,80.3,12.1,0.263,3510,Europe,11400000
Greece,2010,28700,80.4,12.1,0.129,3440,Europe,11400000
Grenada,1995,7120,71.4,11.7,0.851,2400,South/Latin America,100000
Grenada,1996,7400,71.4,9.26,0.538,2380,South/Latin America,101000
Grenada,1997,7740,71.3,9.24,0.323,2400,South/Latin America,101000
Grenada,1998,8630,71.3,9.52,0.185,2320,South/Latin America,101000
Grenada,1999,9220,71.3,11.8,0.131,2250,South/Latin America,101000
Grenada,2000,9650,71.2,13.2,0.174,2220,South/Latin America,102000
Grenada,2001,9440,71.1,15.1,0.226,2290,South/Latin America,102000
Grenada,2002,9740,71,9.71,0.246,2310,South/Latin America,102000
Grenada,2003,10600,71,10.3,0.269,2310,South/Latin America,102000
Grenada,2004,10500,70.6,8.55,0.274,2380,South/Latin America,103000
Grenada,2005,11900,71.1,8.96,0.285,2370,South/Latin America,103000
Grenada,2006,11400,71.2,9.9,0.301,2400,South/Latin America,103000
Grenada,2007,12000,71.3,10.2,0.316,2400,South/Latin America,104000
Grenada,2008,12100,71.4,8.84,0.332,2430,South/Latin America,104000
Grenada,2009,11300,71.4,9.45,0.352,2430,South/Latin America,104000
Grenada,2010,11200,71.3,8.21,0.365,2430,South/Latin America,105000
Guatemala,1995,5600,66.6,12.6,2.3,2280,South/Latin America,10400000
Guatemala,1996,5640,67.2,12.5,2.26,2240,South/Latin America,10600000
Guatemala,1997,5750,67.6,12.7,2.24,2130,South/Latin America,10900000
Guatemala,1998,5900,67.8,15.3,2.23,2160,South/Latin America,11100000
Guatemala,1999,6000,68.3,16.4,2.25,2140,South/Latin America,11400000
Guatemala,2000,6070,68.6,16.6,2.29,2160,South/Latin America,11700000
Guatemala,2001,6070,68.9,15.8,2.33,2220,South/Latin America,11900000
Guatemala,2002,6160,69.3,15.2,2.35,2360,South/Latin America,12200000
Guatemala,2003,6170,69.5,14.8,2.36,2350,South/Latin America,12500000
Guatemala,2004,6210,69.7,15.3,2.34,2320,South/Latin America,12800000
Guatemala,2005,6270,69.8,14.9,2.31,2380,South/Latin America,13100000
Guatemala,2006,6460,70.2,15.3,2.27,2420,South/Latin America,13400000
Guatemala,2007,6710,70.5,15.9,2.24,2450,South/Latin America,13700000
Guatemala,2008,6780,70.8,16.6,2.21,2380,South/Latin America,14000000
Guatemala,2009,6670,71,17.2,2.19,2460,South/Latin America,14300000
Guatemala,2010,6710,71.3,15.8,2.17,2430,South/Latin America,14600000
Guinea,1995,1040,53.4,6.42,4.24,2380,Africa,7870000
Guinea,1996,1060,53.9,6.42,3.27,2350,Africa,8130000
Guinea,1997,1080,54.1,6.42,2.49,2290,Africa,8340000
Guinea,1998,1100,54.2,6.42,1.96,2260,Africa,8500000
Guinea,1999,1120,54.3,6.42,1.75,2320,Africa,8650000
Guinea,2000,1130,54.7,6.42,1.77,2360,Africa,8810000
Guinea,2001,1150,54.8,6.39,1.83,2330,Africa,8970000
Guinea,2002,1190,55.1,6.05,1.84,2360,Africa,9140000
Guinea,2003,1180,55.5,6.81,1.87,2400,Africa,9310000
Guinea,2004,1190,55.8,5,1.92,2430,Africa,9490000
Guinea,2005,1200,56.2,3.54,1.98,2440,Africa,9680000
Guinea,2006,1200,56.4,4.04,2.06,2500,Africa,9880000
Guinea,2007,1200,56.7,2.92,2.16,2510,Africa,10100000
Guinea,2008,1230,57.2,4.41,2.22,2530,Africa,10300000
Guinea,2009,1200,57.5,1.84,2.24,2550,Africa,10600000
Guinea,2010,1190,58,1.84,2.23,2550,Africa,10800000
Guinea Bissau,1995,1630,50.9,9.18,2.1,2340,Africa,1140000
Guinea Bissau,1996,1790,51.2,6.15,1.91,2250,Africa,1160000
Guinea Bissau,1997,1870,50.6,5.06,1.77,2190,Africa,1180000
Guinea Bissau,1998,1320,50.7,8.9,1.7,2150,Africa,1200000
Guinea Bissau,1999,1310,51.2,4.65,1.73,2160,Africa,1220000
Guinea Bissau,2000,1360,52.3,2.25,1.82,2250,Africa,1240000
Guinea Bissau,2001,1360,52.6,2.2,1.93,2280,Africa,1270000
Guinea Bissau,2002,1320,52.9,7.67,2.03,2270,Africa,1290000
Guinea Bissau,2003,1300,53.1,6.91,2.12,2230,Africa,1320000
Guinea Bissau,2004,1310,53.2,3.44,2.18,2260,Africa,1350000
Guinea Bissau,2005,1340,53.2,4.04,2.23,2270,Africa,1380000
Guinea Bissau,2006,1340,53.8,4.14,2.28,2250,Africa,1410000
Guinea Bissau,2007,1350,54.3,4.14,2.33,2290,Africa,1450000
Guinea Bissau,2008,1360,54.5,4.14,2.38,2300,Africa,1480000
Guinea Bissau,2009,1370,55,4.13,2.44,2280,Africa,1520000
Guinea Bissau,2010,1390,55.6,4.14,2.5,2350,Africa,1560000
Guyana,1995,3900,65.2,9.63,0.388,2580,South/Latin America,761000
Guyana,1996,4210,65.1,9.33,0.0748,2590,South/Latin America,762000
Guyana,1997,4480,65.2,9.56,-0.177,2680,South/Latin America,761000
Guyana,1998,4420,65.4,10,-0.337,2680,South/Latin America,758000
Guyana,1999,4560,65.6,10,-0.353,2680,South/Latin America,755000
Guyana,2000,4510,65.6,9.98,-0.262,2730,South/Latin America,753000
Guyana,2001,4620,65.5,10,-0.138,2760,South/Latin America,752000
Guyana,2002,4670,65.3,10.7,-0.0504,2730,South/Latin America,752000
Guyana,2003,4630,65,9.92,-0.00359,2710,South/Latin America,752000
Guyana,2004,4780,64.8,12.5,-0.0273,2690,South/Latin America,752000
Guyana,2005,4690,64.8,11.2,-0.094,2690,South/Latin America,751000
Guyana,2006,4940,65,11.3,-0.179,2660,South/Latin America,750000
Guyana,2007,5300,65.1,10,-0.231,2660,South/Latin America,748000
Guyana,2008,5410,65.2,18.1,-0.208,2600,South/Latin America,746000
Guyana,2009,5600,65.4,17.3,-0.0832,2620,South/Latin America,746000
Guyana,2010,5840,65.5,14.9,0.116,2640,South/Latin America,747000
Haiti,1995,1680,55.1,23.6,1.87,1760,South/Latin America,7820000
Haiti,1996,1720,55.5,20.3,1.85,1810,South/Latin America,7970000
Haiti,1997,1730,55.7,20.2,1.82,1840,South/Latin America,8110000
Haiti,1998,1740,56,16.8,1.79,1920,South/Latin America,8260000
Haiti,1999,1750,56.4,14.9,1.75,1960,South/Latin America,8400000
Haiti,2000,1740,56.8,16,1.71,1960,South/Latin America,8550000
Haiti,2001,1690,57.1,14.7,1.66,1900,South/Latin America,8690000
Haiti,2002,1660,57.5,10.8,1.62,1900,South/Latin America,8830000
Haiti,2003,1640,57.6,8.21,1.59,1870,South/Latin America,8980000
Haiti,2004,1560,56.6,8.56,1.58,1890,South/Latin America,9120000
Haiti,2005,1560,58,8.19,1.57,1880,South/Latin America,9260000
Haiti,2006,1570,58.4,7.32,1.56,1940,South/Latin America,9410000
Haiti,2007,1600,58.9,9.22,1.55,1970,South/Latin America,9560000
Haiti,2008,1590,59.3,9.46,1.54,2010,South/Latin America,9710000
Haiti,2009,1610,60,5.96,1.51,2060,South/Latin America,9850000
Haiti,2010,1500,32.1,4.51,1.48,2170,South/Latin America,10000000
Honduras,1995,3280,68.5,13.4,2.78,2390,South/Latin America,5710000
Honduras,1996,3300,68.8,12.2,2.74,2410,South/Latin America,5870000
Honduras,1997,3370,69,11.9,2.71,2400,South/Latin America,6030000
Honduras,1998,3380,63,14.3,2.67,2410,South/Latin America,6190000
Honduras,1999,3230,69.4,12.3,2.63,2400,South/Latin America,6360000
Honduras,2000,3330,69.6,18.1,2.59,2370,South/Latin America,6520000
Honduras,2001,3330,69.7,17.1,2.55,2450,South/Latin America,6690000
Honduras,2002,3370,69.9,19.2,2.51,2470,South/Latin America,6860000
Honduras,2003,3440,70,23.4,2.46,2480,South/Latin America,7030000
Honduras,2004,3570,70.3,20.9,2.39,2480,South/Latin America,7200000
Honduras,2005,3700,70.6,18.8,2.32,2490,South/Latin America,7370000
Honduras,2006,3850,70.8,17.2,2.25,2530,South/Latin America,7540000
Honduras,2007,4000,71.1,16.9,2.18,2570,South/Latin America,7710000
Honduras,2008,4080,71.3,15.4,2.11,2600,South/Latin America,7870000
Honduras,2009,3900,71.5,17.7,2.04,2600,South/Latin America,8040000
Honduras,2010,3970,71.6,NA,1.97,2600,South/Latin America,8190000
Hungary,1995,15200,70.2,11,-0.139,2950,Europe,10300000
Hungary,1996,15300,70.5,11.3,-0.172,2930,Europe,10300000
Hungary,1997,15800,70.8,11.1,-0.201,3010,Europe,10300000
Hungary,1998,16500,71.1,10.5,-0.233,3010,Europe,10300000
